THREAD ID:-205523392 , new value of glob:100
THREAD ID:-213916096 , new value of glob:200
THREAD ID:320857664 , new value of glob:340
THREAD ID:-1998600640 , new value of glob:300
THREAD ID:-2006993344 , new value of glob:600
THREAD ID:-234883520 , new value of glob:400
THREAD ID:29357632 , new value of glob:500
THREAD ID:20964928 , new value of glob:1000
THREAD ID:20969024 , new value of glob:100
THREAD ID:241169984 , new value of glob:200
THREAD ID:-1342179776 , new value of glob:3723
THREAD ID:-1350572480 , new value of glob:4000
THREAD ID:1015019072 , new value of glob:38289
THREAD ID:1006626368 , new value of glob:40000
THREAD ID:1455420992 , new value of glob:350
THREAD ID:1849685568 , new value of glob:3148
THREAD ID:1841292864 , new value of glob:6000
THREAD ID:-260049344 , new value of glob:700
THREAD ID:-50334144 , new value of glob:1289
THREAD ID:-58726848 , new value of glob:2000
THREAD ID:-1216350656 , new value of glob:100
THREAD ID:-1224743360 , new value of glob:200
THREAD ID:-2019559872 , new value of glob:18362
THREAD ID:-2027952576 , new value of glob:20000
THREAD ID:-1692404160 , new value of glob:17299
THREAD ID:-1700796864 , new value of glob:20000
THREAD ID:-1226836416 , new value of glob:100
THREAD ID:-1390418368 , new value of glob:1232
THREAD ID:1983903296 , new value of glob:2024
THREAD ID:1975510592 , new value of glob:4000
THREAD ID:-1235229120 , new value of glob:5076
THREAD ID:-1226836416 , new value of glob:8000
